"id","content"
"81","Ngành An toàn thông tin ra trường làm việc gì?"
"82","Học ngành Công Nghệ Thông Tin thì có cần giỏi tiếng Anh hay không?"
"83","học ngành khmt ra trường làm những công việc gì"
"84","Nên chọn chuyên ngành nào ở thời điểm hiện tại?"
"85","Ngành này có dạy lập trình web không?"
"86","Có thể học 2 ngành cùng 1 lúc được k"
"87","Học CNTT có bị mau già, trầm cảm?"
"88","Em theo Cntt thì nên theo trường fpt hay hutech hay trường nào khác ạ"
"89","ngành này tầm bao nhiêu điểm"
"90","chương trình học có khó không"
"91","em không giỏi tiếng anh và sử dụng máy tính cũng không tốt lắm thì có hợp không ạ"
"92","ngành này con giá học ổn không ạ"
"93","ngành này cơ hội việc làm sau khi ra trường ổn không ạ"
"94","sau khi ra trường có thể làm những việc gì ạ"
"95","có bao nhiêu phương thức xét tuyển"
"96","điểm chuẩn của ngành là bao nhiêu"
"97","chương trình đào tạo bao nhiêu năm"
"98","ngành đào tạo những gì"
"99","những vị trí việc làm khi ra trường"
"100","chi phí học là bao nhiêu"
"101","chuẩn đầu ra có được đảm nảo không"
"102","chương trình đào tạo có quá khó không"
"103","bao nhiêu điểm để đậu vào ngành này ở trường"
"104","khi học thì sẽ được học những gì"
"105","ra trường sẽ làm những gì"
"106","tỷ lệ thấp nghiệp của ngành có cao hay không"
"107","tiền lương ngành này có ok không"
"108","tỷ lệ cạnh tranh vào trường cao hay thấp"
"109","điểm đầu vào năm trước là bao nhiêu"
"110","chỉ tiêu năm trước là bao nhiêu"
"111","cơ hội việc làm hay không"
"112","xin việc làm được vào những nơi nào"
"113","mức thu nhập bao nhiêu"
"114","cần thi những khối nào"
"115","Điểm ngành Khoa Học Máy Tính có cao không?"
"116","Thời gian đào tạo trung bình bao lâu"
"117","Ngành An toàn thông tin điểm chuẩn là bao nhiêu?"
"118","Học ngành Công Nghệ Thông Tin thì nên chọn Đại học hay Cao đẳng?"
"119","khmt học về những gì"
"120","Ngành An toàn thông tin có thể làm được những công việc nào?"
"121","Ngành này sẽ cung cấp những kiến thức gì sau khi ra trường?"
"122","Theo anh/chị thì trong các ngành trên, ngành nào sẽ có tiềm năng trong tương lai?"
"123","Ra trường có làm việc trong nha nước được k?"
"124","Cơ hội việc làm sau khi ra trường như thế nào?"
"125","Điểm chuẩn năm ngoái là bao nhiêu ạ"
"126","Cần bao nhiêu điểm để đậu"
"127","điểm chuẩn ngành ATTT là bao nhiêu?"
"128","ĐHCT đào tạo những ngành nào về CNTT?"
"129","Khoa Học Máy Tính là học những gì?"
"130","Chương trình đào tạo của các ngành trên có cùng chung lượng kiến thức như nhau hay không?"
"131","Cần trau dồi những kỹ năng gì khi học CNTT"
"132","Trường có nhận xét học bạ hay không"
"133","ra trường làm việc lương bao nhiêu?"
"134","Điểm chuẩn ngành KTPM là bao nhiêu?"
"135","Học Khoa Học Máy Tính khi ra trường sẽ làm được những gì?"
"136","Ngành An toàn thông tin ứng dụng được những lĩnh vực nào?"
"137","Kĩ năng mềm có quan trọng đối với nghành Công Nghệ Thông Tin hay không?"
"138","yêu thích trí tuệ nhân tạo nên học ngành nào"
"139","Học Khoa học máy tính có được phát người yêu không?"
"140","Ngành này có nhiều bạn nữ xinh đẹp không?"
"141","Kiến thức của trường có được cập nhật theo xu hướng công nghệ hiện nay hay không?"
"142","Ngành nào có tỉ lệ ra trường có việc làm nhất?"
"143","Điều gì là quan trọng nhất khi học kỹ thuật phần mềm?"
"144","Ra trường thì lương trung bình là bao nhiêu ạ"
"145","Tiêu chí như thế nào mới đc coi là đạt"
"146","những vất vả, khó khăn công việc như thế nào?"
"147","Ra trường có được đảm bảo việc làm không?"
"148","Mất bao lâu để hoàn thành chương trình học?"
"149","Ngành An toàn thông tin ra trường làm việc lương bao nhiêu?"
"150","Bằng cấp có thực sự quan trọng đối với nghành Công Nghệ Thông Tin không?"
"151","tại sao nên chọn ngành khmt"
"152","Thời gian học là bao lâu?"
"153","Ngành Khoa học máy tính có giống các ngành còn lại không?"
"154","Lượng kiến thức của trường đào đạo có đáp ứng đủ nhu cầu cơ bản cho quán trình sau khi ra trường để làm việc hay không?"
"155","Ngành nào ra trường có lương cao nhất?"
"156","Ra trường có xin được việc ko và mức lương dao động là bao nhiêu"
"157","công việc áp lực ra sao?"
"158","Lương trung bình là bao nhiêu?"
"159","Ngành Khoa Học Máy Tính có cần phải giỏi toán không?"
"160","Ngành Mạng Máy Tính và Truyền thông Dữ liệu điểm chuẩn là bao nhiêu?"
"161","Cách đặt mục tiêu và định hướng phát triển cho bản thân khi theo học nghành Công Nghệ Thông Tin?"
"162","các chuyên ngành của ngành khmt là gì"
"163","Kỹ thuật máy tính và Khoa học máy tính có gì khác nhau không?"
"164","Chất lượng đầu ra của ngành này tại trường?"
"165","Môi trường và thiệt bị có đáp ứng đủ nhu cầu học tập hay không?"
"166","Cần học chính thức những môn nào và môn chủ yếu"
"167","có khó tìm việc làm hay không?"
